8,IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,fossil_bio,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022
2178,Annex_I,Central Europe,LVA,Latvia,1.A.3.b_noRES,Road Transportation no resuspension,SO2,fossil,0.4811179777852,0.46518328801642,0.49345166370755,0.51698449392733,0.54506152918741,0.57716794970579,0.59902932075337,0.58488831661359,0.57373142280617,0.56876070139474,0.58609336701095,0.55888737517048,0.52933390138165,0.49198931538497,0.45853858995566,0.43097696919369,0.43195898559211,0.41234137613233,0.38555152690542,0.36371424642146,0.49953898942414,0.44897930263701,0.39314002698721,0.37405309075548,0.34426516512384,0.31129428931581,0.28266170299606,0.26871907081028,0.25094604862668,0.23352690048137,0.24090629305182,0.24506224473336,0.20634570048959,0.16626155168871,0.12121462563219,0.069990689989056,0.070448879048268,0.070573586853199,0.056847212379185,0.040940127248338,0.032834697677834,0.020709797713028,0.011541537304688,0.011313639453125,0.011581080273438,0.011838281835938,0.011690921085655,0.011565016388945,0.011238701277041,0.010792800255409,0.010263591111453,0.010263591103103,0.010260793794657
2179,Annex_I,Central Europe,LVA,Latvia,1.A.3.c,Railways,SO2,fossil,0.14002767460477,0.14002767460477,0.14544250114602,0.14910184256267,0.15311096300324,0.16847704159413,0.16676395958788,0.16742110988025,0.17024047076176,0.17112814801497,0.16670036153482,0.17474774338105,0.17999298858386,0.18714871983047,0.19314120191315,0.19523187703064,0.19743252335372,0.19998823832576,0.20280230825732,0.20480289413752,0.11735021044922,0.11457271591797,0.093046926367187,0.057633516918945,0.050689740795898,0.052772845776367,0.052772845776367,0.055550411938477,0.050689740795898,0.043745964672852,0.045134680102539,0.046523463183594,0.048606568164063,0.055550411938477,0.056939127368164,0.056939127368164,0.049995351245117,0.054161628857422,0.054161628857422,0.050689740795898,0.045829073632813,0.051384134326172,0.054856022387695,0.049300957714844,0.047217852734375,0.045134680102539,0.038190903979492,0.035834204931641,0.036529278955078,0.030011077685547,0.017698343811035,0.017698343811035,0.017698343811035
2180,Annex_I,Central Europe,LVA,Latvia,1.A.3.d,Water-borne Navigation,SO2,fossil,2.2777926161781,2.2777926161781,2.3658741468351,2.4253996719318,2.4906149585719,2.7405708365991,2.712704591189,2.7233942786947,2.7692560657762,2.7836956735083,2.711670058722,2.8425746602634,2.9278976567834,3.0442980172327,3.1417761156089,3.1757845668589,3.211581890207,3.2531550200102,3.2989307406283,3.3314737344245,1.90890438694,0.5159180653,0.15477870858,0.05159290286,,,,,,,,,,,,,,0.049248239452296,0.096461427687556,0.19129009946593,0.24003347153963,0.24371214543296,0.1846685190998,0.35756964150196,0.18098986334084,0.13519393133182,0.18981863716234,0.21096348650289,0.25267518714793,0.077099802202096,0.032255507635822,0.037895578031787,0.041598102424081
2181,Annex_I,Central Europe,LVA,Latvia,1.A.3.e,Other Transportation,SO2,fossil,,,,,,,,,,,,,,,,,,,,,0.0005431494140625,0.00054000091552735,0.00027494924926758,0.00047700006103515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2182,Annex_I,Central Europe,LVA,Latvia,1.A.4,Residential and other sectors,SO2,fossil,17.317250796431,17.259339394084,17.949891738266,18.585817034372,19.200302150076,19.993867675486,20.41411711867,20.735821346605,21.123452939503,21.42879359914,21.935917427527,21.037357503188,20.240308831242,19.642878664399,19.282867359773,19.066636058485,18.531952100809,18.065847673524,17.886177474655,17.401178562075,14.571901707565,15.175777344102,9.5532716216491,10.211156142799,8.5709514539939,4.038025378883,4.2382190019931,3.3416317674906,2.2775460308156,2.0858334640159,1.5973643663406,2.0098068214109,1.5760612042595,1.5615771636381,1.4719580203715,1.3579106873772,1.2141662067879,0.89190098329887,0.8067154584156,0.73606657521019,0.79143685146027,0.8349970335804,0.70851706266212,0.72472428085403,0.7118254615097,0.72807811529822,0.7229958108396,0.68784464942034,0.71006209522733,0.63282100742838,0.60219368754233,0.60219368754233,0.60135664659408
2183,Annex_I,Central Europe,LVA,Latvia,1.A.5,Non-Specified,SO2,fossil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036548641395569,0.036548641395569,,,0.0050268826446533,0.0025134413223267,0.0025134413223267,0.0025134413223267,0.0025134413223267,0.0025134413223267,0.039062082717896,0.018438401581857,0.043700179005503,0.063709387720109,0.021095571354031,0.021095571354031,0.021095571354031
2184,Annex_I,Central Europe,LVA,Latvia,2.A.1,Cement production,SO2,fossil,0.140998,0.148478,0.154462,0.161942,0.17017,0.180642,0.183634,0.188122,0.187748,0.181764,0.184756,0.188122,0.295086,0.302566,0.30294,0.294338,0.324632,0.315282,0.30855,0.290224,0.278256,0.26928,0.12716,0.042636,0.091256,0.076296,0.12155,0.092004,0.136884,0.136884,0.136884,0.117062,0.09724,0.11033,0.106216,0.10472,0.10472,0.1122,0.11594,0.133518,0.23749,0.281248,0.336974,0.374,0.4114,0.4114,0.374,0.374,0.374,0.4114,0.4114,0.4114,0.4114
2185,Annex_I,Central Europe,LVA,Latvia,2.A.2,Lime production,SO2,fossil,0.0981496,0.0981496,0.09875,0.099382,0.099382,0.099382,0.1035216,0.1076612,0.1076612,0.1097152,0.1118008,0.1142972,0.1142972,0.1346476,0.1346476,0.1332888,0.1332888,0.1332888,0.1395772,0.1386608,0.0033022,0.0033022,0.0033022,0.0033022,0.0033022,0.0033022,0.00378568,0.004898,0.00441452,0.00456936,0.00424072,0.00453144,0.00443348,0.00451564,0.00576384,0.0054036,0.00371616,0.00408904,0.00468944,0.0027966,0.00515712,,0.00017064,0.00017427063829787,0.00018539429606157,,,,,,,,
2186,Annex_I,Central Europe,LVA,Latvia,2.A.3,Glass Production,SO2,fossil,0.00016228995095586,0.00016364892258063,0.00016499691840066,0.00016629620852321,0.0001674925990932,0.00016855179018732,0.00016945937582004,0.00017024142389488,0.00017094938425574,0.00017165665870316,0.00017241881309944,0.00017320360553233,0.00017399251404956,0.00017485688248803,0.00017589069265114,0.0001771303024902,0.0001786669498491,0.00018040596697592,0.00018197348465352,0.00018286735182365,8.539328e-05,6.1005e-05,5.06415e-05,5.5566e-06,2.19128e-06,1.9973968e-05,2.55535e-05,1.0212188e-05,1.8975544e-05,1.364006728e-05,1.439745048e-05,5.29214504e-05,5.868160816e-05,4.782645392e-05,5.672271556e-05,4.434874164e-05,3.1549924e-05,3.1549924e-05,3.1549924e-05,3.1549924e-05,3.1549924e-05,3.1549924e-05,3.1549924e-05,3.1549924e-05,3.1549924e-05,3.1549924e-05,3.1549924e-05,3.1549924e-05,3.1549924e-05,3.1549924e-05,3.1549924e-05,3.1549924e-05,3.1549924e-05
2187,Annex_I,Central Europe,LVA,Latvia,2.A.4,Other Process Uses of Carbonates,SO2,fossil,,,,,,,,,,,,,,,,,,,,,,,,0.00377970712,0.00717158512,0.00503950104,0.007589022,0.00786134832,0.00778163512,0.00737070544,0.01366577072,0.01174256776,0.01586064928,0.01371164648,0.01187629072,0.012179819064,0.003650181304,0.0002935853424,,,,,,,,,,,,,,,
2188,Annex_I,Central Europe,LVA,Latvia,2.B,Chemical Industry,SO2,fossil,0.008094,0.008322,0.008322,0.008208,0.008208,0.008436,0.008436,0.008322,0.008208,0.008208,0.00741,0.008322,0.008322,0.008664,0.008664,0.008436,0.00798,0.00741,0.007638,0.010032,0.01368,0.01596,0.01311,0.013908,0.016074,0.01653,0.01653,0.01653,0.01653,0.01653,0.01653,0.01653,0.01653,0.01653,0.01653,0.01653,0.01653,0.01653,0.01653,0.01653,0.01653,0.01653,0.01653,0.01653,0.01653,0.01653,0.01653,0.01653,0.01653,0.01653,0.016361927293042,0.016579733758594,0.015006535529562
2189,Annex_I,Central Europe,LVA,Latvia,2.H,Other,SO2,fossil,1.7491712756062,1.702599575397,1.6775567065375,1.7092870446837,1.598093153719,1.5691773933561,1.6167814299906,1.6224458401414,1.6007927658843,1.4425081910824,1.4116895609954,1.4032193843054,1.3790108822912,1.4147360525158,1.4050225662458,1.3892584915808,1.3366246645619,1.3205239923451,1.2821143187516,1.32159968511,0.81523058431536,0.65538785030465,0.44608571428571,0.093657142857143,0.016085714285715,0.022821428571428,0.014342857142857,,0.04896,0.0458,0.047142857142857,0.061792857142857,0.086571428571429,0.093742857142857,0.086742857142857,0.085,0.1325,0.1425,0.12,0.115,0.105,0.1075,0.0961675,0.096175,0.095,0.1075,0.0504675,0.04,0.04,0.0906475,0.0615,0.1143,0.092743013486995
