year,avetem,ppb,tot,burnt_area,tree_loss,SO2,ppm
1901,14.03,NaN,4.6,NaN,NaN,NaN,NaN
1902,13.9,NaN,8.5,NaN,NaN,NaN,NaN
1903,13.81,NaN,40.8,NaN,NaN,NaN,NaN
1904,13.71,NaN,70.1,NaN,NaN,NaN,NaN
1905,13.92,NaN,105.5,NaN,NaN,NaN,NaN
1906,13.96,NaN,90.1,NaN,NaN,NaN,NaN
1907,13.79,NaN,102.8,NaN,NaN,NaN,NaN
1908,13.75,NaN,80.9,NaN,NaN,NaN,NaN
1909,13.69,NaN,73.2,NaN,NaN,NaN,NaN
1910,13.74,NaN,30.9,NaN,NaN,NaN,NaN
1911,13.74,NaN,9.5,NaN,NaN,NaN,NaN
1912,13.82,NaN,6.0,NaN,NaN,NaN,NaN
1913,13.83,NaN,2.4,NaN,NaN,NaN,NaN
1914,14.03,NaN,16.1,NaN,NaN,NaN,NaN
1915,14.04,NaN,79.0,NaN,NaN,NaN,NaN
1916,13.82,NaN,95.0,NaN,NaN,NaN,NaN
1917,13.72,NaN,173.6,NaN,NaN,NaN,NaN
1918,13.88,NaN,134.6,NaN,NaN,NaN,NaN
1919,13.9,NaN,105.7,NaN,NaN,NaN,NaN
1920,13.91,NaN,62.7,NaN,NaN,NaN,NaN
1921,13.99,NaN,43.5,NaN,NaN,NaN,NaN
1922,13.9,NaN,23.7,NaN,NaN,NaN,NaN
1923,13.92,NaN,9.7,NaN,NaN,NaN,NaN
1924,13.91,NaN,27.9,NaN,NaN,NaN,NaN
1925,13.96,NaN,74.0,NaN,NaN,NaN,NaN
1926,14.08,NaN,106.5,NaN,NaN,NaN,NaN
1927,13.97,NaN,114.7,NaN,NaN,NaN,NaN
1928,13.99,NaN,129.7,NaN,NaN,NaN,NaN
1929,13.82,NaN,108.2,NaN,NaN,NaN,NaN
1930,14.03,NaN,59.4,NaN,NaN,NaN,NaN
1931,14.09,NaN,35.1,NaN,NaN,NaN,NaN
1932,14.03,NaN,18.6,NaN,NaN,NaN,NaN
1933,13.9,NaN,9.2,NaN,NaN,NaN,NaN
1934,14.06,NaN,14.6,NaN,NaN,NaN,NaN
1935,13.99,NaN,60.2,NaN,NaN,NaN,NaN
1936,14.04,NaN,132.8,NaN,NaN,NaN,NaN
1937,14.16,NaN,190.6,NaN,NaN,NaN,NaN
1938,14.18,NaN,182.6,NaN,NaN,NaN,NaN
1939,14.16,NaN,148.0,NaN,NaN,NaN,NaN
1940,14.31,NaN,113.0,NaN,NaN,NaN,NaN
1941,14.37,NaN,79.2,NaN,NaN,NaN,NaN
1942,14.25,NaN,50.8,NaN,NaN,NaN,NaN
1943,14.27,NaN,27.1,NaN,NaN,NaN,NaN
1944,14.39,NaN,16.1,NaN,NaN,NaN,NaN
1945,14.28,NaN,55.3,NaN,NaN,NaN,NaN
1946,14.11,NaN,154.3,NaN,NaN,NaN,NaN
1947,14.16,NaN,214.7,NaN,NaN,NaN,NaN
1948,14.08,NaN,193.0,NaN,NaN,NaN,NaN
1949,14.08,NaN,190.7,NaN,NaN,NaN,NaN
1950,14.02,NaN,118.9,NaN,NaN,NaN,NaN
1951,14.12,NaN,98.3,NaN,NaN,NaN,NaN
1952,14.2,NaN,45.0,NaN,NaN,NaN,NaN
1953,14.27,NaN,20.1,NaN,NaN,NaN,NaN
1954,14.06,NaN,6.6,NaN,NaN,NaN,NaN
1955,14.05,NaN,54.2,NaN,NaN,NaN,NaN
1956,14.0,NaN,200.7,NaN,NaN,NaN,NaN
1957,14.24,NaN,269.3,NaN,NaN,NaN,NaN
1958,14.25,NaN,261.7,NaN,NaN,NaN,NaN
1959,14.22,NaN,225.1,NaN,NaN,NaN,315.98
1960,14.16,NaN,159.0,NaN,NaN,NaN,316.91
1961,14.25,NaN,76.4,NaN,NaN,NaN,317.64
1962,14.22,NaN,53.4,NaN,NaN,NaN,318.45
1963,14.24,NaN,39.9,NaN,NaN,NaN,318.99
1964,13.99,NaN,15.0,NaN,NaN,NaN,319.62
1965,14.08,NaN,22.0,NaN,NaN,NaN,320.04
1966,14.13,NaN,66.8,NaN,NaN,NaN,321.37
1967,14.17,NaN,132.9,NaN,NaN,NaN,322.18
1968,14.11,NaN,150.0,NaN,NaN,NaN,323.05
1969,14.24,NaN,149.4,NaN,NaN,NaN,324.62
1970,14.22,NaN,148.0,NaN,NaN,96575.476674453,325.68
1971,14.11,NaN,94.4,NaN,NaN,93528.79895415454,326.32
1972,14.2,NaN,97.6,NaN,NaN,97908.5767621764,327.46
1973,14.35,NaN,54.1,NaN,NaN,103930.96180386248,329.68
1974,14.12,NaN,49.2,NaN,NaN,103215.20169989573,330.19
1975,14.18,NaN,22.5,NaN,NaN,103893.91645355846,331.13
1976,14.09,NaN,18.4,NaN,NaN,109356.33715082525,332.03
1977,14.37,NaN,39.3,NaN,NaN,113375.65578409177,333.84
1978,14.26,NaN,131.0,NaN,NaN,115849.82359643672,335.41
1979,14.35,NaN,220.1,NaN,NaN,117528.40962795624,336.84
1980,14.45,NaN,218.9,NaN,NaN,116109.63957584796,338.76
1981,14.51,NaN,198.9,NaN,NaN,113005.43560392778,340.12
1982,14.33,NaN,162.4,NaN,NaN,109553.96553252412,341.48
1983,14.5,NaN,91.0,NaN,NaN,108450.48573424525,343.15
1984,14.35,1644.68,60.5,NaN,NaN,109066.74864340892,344.87
1985,14.31,1657.29,20.6,NaN,NaN,108031.06395655882,346.35
1986,14.37,1670.09,14.8,NaN,NaN,108878.81280166411,347.61
1987,14.51,1682.7,33.9,NaN,NaN,109937.96484805927,349.31
1988,14.58,1693.13,123.0,NaN,NaN,111383.3384868814,351.69
1989,14.46,1704.53,211.1,NaN,NaN,110122.10462449653,353.2
1990,14.64,1714.43,191.8,NaN,NaN,110189.27248466732,354.45
1991,14.6,1724.84,203.3,NaN,NaN,108378.90218801072,355.7
1992,14.41,1735.46,133.0,NaN,NaN,105902.7017947468,356.54
1993,14.42,1736.49,76.1,NaN,NaN,103980.66491459706,357.21
1994,14.5,1742.07,44.9,NaN,NaN,99945.6469064723,358.96
1995,14.63,1748.87,25.1,NaN,NaN,98410.4861778759,360.97
1996,14.52,1751.28,11.6,NaN,NaN,97324.39861456664,362.74
1997,14.65,1754.53,28.9,NaN,NaN,98377.9335663286,363.88
1998,14.8,1765.54,88.3,NaN,NaN,97966.45333972615,366.84
1999,14.57,1772.35,136.3,NaN,NaN,94388.5644923282,368.54
2000,14.58,1773.33,173.9,NaN,NaN,94075.94751154304,369.71
2001,14.72,1771.28,170.4,NaN,2532195.9565154896,91690.09668933509,371.32
2002,14.82,1772.67,163.6,NaN,4582541.867024897,88889.13453300686,373.45
2003,14.81,1777.33,99.3,NaN,4506520.184234246,91236.3784542515,375.98
2004,14.72,1777.05,65.3,NaN,5428567.992511113,94892.36098766464,377.7
2005,14.87,1774.16,45.8,NaN,3918241.676000753,97172.598468857,379.98
2006,14.83,1774.96,24.7,NaN,4185673.8905408327,96276.00317820755,382.09
2007,14.85,1781.37,12.6,NaN,4003205.5178705584,95794.89646638064,384.02
2008,14.73,1787.01,4.2,NaN,4265944.456603227,94257.87266023386,385.83
2009,14.85,1793.53,4.8,NaN,2892751.6808759696,92103.23425418102,387.64
2010,14.92,1798.91,24.9,NaN,3660551.386195782,95727.55049193304,390.1
2011,14.8,1803.09,80.8,NaN,4234415.432493299,98673.04528094796,391.85
2012,14.84,1808.12,84.5,30464509859.0,6744074.416693635,99070.03693296813,394.06
2013,14.87,1813.41,94.0,29798274200.0,7001910.614697615,97764.6615517778,396.74
2014,14.94,1822.57,113.3,30429013204.0,6433195.642261098,97595.0983383924,398.81
2015,15.09,1834.24,69.8,32289715358.0,5292543.747783683,95070.07603591729,401.01
2016,15.2,1843.12,39.8,31518425624.0,9627818.810984775,92660.23994782528,404.41
2017,15.11,1849.66,21.7,29390737425.0,7942552.365697597,91897.53945593124,406.76
2018,15.04,1857.34,7.0,24474499557.0,6465932.387400811,90786.20091964176,408.72
2019,15.17,1866.58,3.6,31007853452.0,7569588.6967777265,89060.66041781077,411.65
2020,15.2,1878.72,8.8,32231327477.0,8878518.558401754,77686.9275618753,414.21
2021,15.04,1894.72,29.6,28709310575.0,9335076.109779336,82204.55055638624,416.41
2022,15.08,1910.92,83.2,28167022158.0,6716176.4438549625,83902.54834012511,418.53
2023,15.36,1921.61,125.5,29414853944.0,11913704.35765496,NaN,421.08
2024,NaN,1929.97,154.7,2160929254.0,13464851.10246205,NaN,424.61
